task_id,run_uuid,status,creation_time,param_angle_of_attack,param_beta,param_tip_twist,param_x_tip_scale,param_y_tip_scale,obj_lift_to_drag
doe-200_gan-1-19-19500,0198b67c-0a4b-7be9-b157-978f6512b707,Finished,2025-08-17T05:23:59Z,13.37902671,0.1181924221,-5,0.8,0.8,6.932297763851226
doe-200_gan-1-19-19500,0198b685-da93-77b2-b4ff-798bc36a4dcf,Finished,2025-08-17T05:34:42Z,16.24032726,0.3952892387,-5,0.8,0.8,6.691982362904126
doe-200_gan-1-19-19500,0198b68c-4609-7bdb-907b-7695c22ab0ea,Finished,2025-08-17T05:41:43Z,14.64085762,0.5945891329,-5,0.8,0.8,8.003698885659675
doe-200_gan-1-19-19500,0198b68d-8e39-7430-b3cc-e71326ae3cea,Finished,2025-08-17T05:43:07Z,13.79716541,0.7414763801,-5,0.8,0.8,8.605708408754642
doe-200_gan-1-19-19500,0198b68e-9981-7a2e-9c84-c0d30b3e41b3,Finished,2025-08-17T05:44:15Z,14.78304516,0.2876376185,-5,0.8,0.8,7.131129568485222
doe-200_gan-1-19-19500,0198b696-78ba-71e7-9ab6-95e26fe4eaf5,Finished,2025-08-17T05:52:51Z,15.29194723,0.6636009807,-5,0.8,0.8,7.508375694631915
doe-200_gan-1-19-19500,0198b69f-fb4f-7b31-b1ef-2cbe3fe2f28e,Finished,2025-08-17T06:03:14Z,16.99827073,0.6593274526,-5,0.8,0.8,6.357604064065913
doe-200_gan-1-19-19500,0198b6a5-f1b9-7198-b07d-17c625255107,Finished,2025-08-17T06:09:45Z,16.58790902,0.4174649685,-5,0.8,0.8,6.496078181184312
doe-200_gan-1-19-19500,0198b6a7-fa49-78e2-a241-029d7d5dc574,Finished,2025-08-17T06:11:58Z,13.72329455,0.5073613595,-5,0.8,0.8,8.620468718164055
doe-200_gan-1-19-19500,0198b6aa-2c68-79b0-8082-0780cb9f83cc,Finished,2025-08-17T06:14:22Z,14.91507571,0.1760813467,-5,0.8,0.8,6.52356506682155
doe-200_gan-1-19-19500,0198b6b3-398f-7188-9776-78b7508fc318,Finished,2025-08-17T06:24:15Z,13.39194121,0.7672971308,-5,0.8,0.8,8.906321060193028
doe-200_gan-1-19-19500,0198b6c0-7857-747b-8430-948959eb4a15,Finished,2025-08-17T06:38:43Z,14.76650374,0.007467933512,-5,0.8,0.8,5.704669287399895
doe-200_gan-1-19-19500,0198b6c5-17bc-781b-9005-e3f33f5da696,Finished,2025-08-17T06:43:46Z,14.52140332,0.01142625667,-5,0.8,0.8,5.834181303549037
doe-200_gan-1-19-19500,0198b6d0-8b11-7960-8fce-abfb3b3763ab,Finished,2025-08-17T06:56:17Z,14.86610499,0.1313631012,-5,0.8,0.8,6.288370415433
doe-200_gan-1-19-19500,0198b6dd-e764-7191-b9a7-de8b1639bdba,Finished,2025-08-17T07:10:52Z,16.91516082,0.4506577459,-5,0.8,0.8,6.404706770266288
doe-200_gan-1-19-19500,0198b6e1-8c85-73a8-a717-0d3b87b995f3,Finished,2025-08-17T07:14:51Z,13.06293038,0.3268279959,-5,0.8,0.8,8.55178519707762
doe-200_gan-1-19-19500,0198b6ea-d2ea-7562-8528-681e0dd7f5d8,Finished,2025-08-17T07:24:59Z,16.23570292,0.3442630853,-5,0.8,0.8,6.564849546293638
doe-200_gan-1-19-19500,0198b6f8-f8f0-712b-b8a8-72c9263405ee,Finished,2025-08-17T07:40:26Z,16.70113133,0.6263378336,-5,0.8,0.8,6.5852855871337
doe-200_gan-1-19-19500,0198b6fd-ce3b-715b-8802-1906ce203443,Finished,2025-08-17T07:45:43Z,14.08741201,0.4417844228,-5,0.8,0.8,8.19474870480807
doe-200_gan-1-19-19500,0198b705-a711-7e24-b3f4-83701c7f484f,Finished,2025-08-17T07:54:17Z,14.12882449,0.3037475068,-5,0.8,0.8,7.635454998633971
doe-200_gan-1-19-19500,0198b714-1239-7b7a-996e-70cf64e28a3d,Finished,2025-08-17T08:10:02Z,16.21493849,0.01990385583,-5,0.8,0.8,5.2671942234555935
doe-200_gan-1-19-19500,0198b717-2d11-705f-a4b6-621bff4ad559,Finished,2025-08-17T08:13:26Z,16.53952287,0.2265105182,-5,0.8,0.8,5.980398905860197
doe-200_gan-1-19-19500,0198b721-6097-79f9-a02d-c873dd296d91,Finished,2025-08-17T08:24:34Z,15.01008952,0.7263746018,-5,0.8,0.8,7.630992750654718
doe-200_gan-1-19-19500,0198b730-b535-7132-a32a-701bc43e681d,Finished,2025-08-17T08:41:19Z,16.42602156,0.580264028,-5,0.8,0.8,6.7568999114738535
doe-200_gan-1-19-19500,0198b731-339f-71c4-bba5-978dd059e3f1,Finished,2025-08-17T08:41:51Z,13.30547791,0.5125347995,-5,0.8,0.8,8.984875091350084
